"Tabela 1364 - Número de municípios, total e os com serviço de abastecimento de água, por tipo de tratamento da água"
"Variável - Municípios com serviço de abastecimento de água por rede geral de distribuição (Unidades)"
"Brasil, Unidade da Federação e Município";"Ano x Existência e tipo de tratamento da água"
"Brasil, Unidade da Federação e Município";"2000";;;;;;;;"2008";;;;;;;;"2017"
"Brasil, Unidade da Federação e Município";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento"
"Manaquiri (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Manaus (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Manicoré (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Maraã (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Maués (AM)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Nhamundá (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Nova Olinda do Norte (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Novo Airão (AM)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Novo Aripuanã (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Parintins (AM)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Pauini (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-"
"Presidente Figueiredo (AM)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Rio Preto da Eva (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Santa Isabel do Rio Negro (AM)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Santo Antônio do Içá (AM)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Gabriel da Cachoeira (AM)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"São Paulo de Olivença (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Sebastião do Uatumã (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Silves (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Tabatinga (AM)";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Tapauá (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Tefé (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Tonantins (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-"
"Uarini (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Urucará (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Urucurituba (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Amajari (RR)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Alto Alegre (RR)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Boa Vista (RR)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Bonfim (RR)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Cantá (RR)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Caracaraí (RR)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Caroebe (RR)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Iracema (RR)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Mucajaí (RR)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Normandia (RR)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Pacaraima (RR)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Rorainópolis (RR)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"São João da Baliza (RR)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"São Luiz (RR)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Uiramutã (RR)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Abaetetuba (PA)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Abel Figueiredo (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Acará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Afuá (PA)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Água Azul do Norte (PA)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Alenquer (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Almeirim (PA)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Altamira (PA)";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Anajás (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Ananindeua (PA)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Anapu (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Augusto Corrêa (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Aurora do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Aveiro (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Bagre (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-"
"Baião (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"1";"1"
"Bannach (PA)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Barcarena (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Belém (PA)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Belterra (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Benevides (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Bom Jesus do Tocantins (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Bonito (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Bragança (PA)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Brasil Novo (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Brejo Grande do Araguaia (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Breu Branco (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Breves (PA)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Bujaru (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Cachoeira do Piriá (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Cachoeira do Arari (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Cametá (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"1";"1"
"Canaã dos Carajás (PA)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Capanema (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Capitão Poço (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Castanhal (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Chaves (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Colares (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Conceição do Araguaia (PA)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Concórdia do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Cumaru do Norte (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Curionópolis (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Curralinho (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Curuá (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Curuçá (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Dom Eliseu (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Eldorado do Carajás (PA)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Faro (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Floresta do Araguaia (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Garrafão do Norte (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Goianésia do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-"
"Gurupá (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Igarapé-Açu (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Igarapé-Miri (PA)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Inhangapi (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Ipixuna do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"1";"1"
"Irituia (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Itaituba (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Itupiranga (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Jacareacanga (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Jacundá (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Juruti (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Limoeiro do Ajuru (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Mãe do Rio (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Magalhães Barata (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Marabá (PA)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Maracanã (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Marapanim (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Marituba (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Medicilândia (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Melgaço (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-"
"Mocajuba (PA)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Moju (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Mojuí dos Campos (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1";"1";"-";"-";"-";"-";"-";"1"
"Monte Alegre (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Muaná (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"-"
"Nova Esperança do Piriá (PA)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-"
"Nova Ipixuna (PA)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Nova Timboteua (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Novo Progresso (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Novo Repartimento (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Óbidos (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Oeiras do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Oriximiná (PA)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Ourém (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Ourilândia do Norte (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Pacajá (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-"
"Palestina do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Paragominas (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Parauapebas (PA)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-"
"Pau D'Arco (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Peixe-Boi (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Piçarra (PA)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Placas (PA)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-"
"Ponta de Pedras (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Portel (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Porto de Moz (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Prainha (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Primavera (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Quatipuru (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Redenção (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Rio Maria (PA)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Rondon do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Rurópolis (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Salinópolis (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Salvaterra (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Santa Bárbara do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Santa Cruz do Arari (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Santa Izabel do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Santa Luzia do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santa Maria das Barreiras (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santa Maria do Pará (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santana do Araguaia (PA)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"1";"1";"-"
"Santarém (PA)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Santarém Novo (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"-"
"Santo Antônio do Tauá (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"São Caetano de Odivelas (PA)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
